contact_probability,duration_generations,duration_years,criterion,ignitions,replicates,ignition_probability,wilson_low,wilson_high,median_first_primary_year_if_any,median_final_repertoire,median_final_primary_fraction,median_final_cognition,median_final_infrastructure
0.06,40,1000,strict,15,100,0.15,0.0930598528365663,0.23283559590832364,3837.5,15.371875,0.5,0.37180554057257154,0.5123223812737057
0.08,40,1000,permissive,50,100,0.5,0.4038315303659956,0.5961684696340044,3725.0,17.2828125,0.5609375,0.3914333703419408,0.5741150179062682
0.08,40,1000,primary,43,100,0.43,0.33733298524110106,0.5278461045078768,3725.0,17.2828125,0.5609375,0.3914333703419408,0.5741150179062682
0.08,40,1000,strict,25,100,0.25,0.17545211362287672,0.34304463548061603,3725.0,17.2828125,0.5609375,0.3914333703419408,0.5741150179062682
0.1,40,1000,permissive,60,100,0.6,0.5020025867910618,0.6905987135675411,3625.0,20.8046875,0.6921875,0.43089118166646573,0.7157852121907007
0.1,40,1000,primary,57,100,0.57,0.47215389549212305,0.6626670147588988,3625.0,20.8046875,0.6921875,0.43089118166646573,0.7157852121907007
0.1,40,1000,strict,37,100,0.37,0.28182360534324524,0.4677947041905709,3625.0,20.8046875,0.6921875,0.43089118166646573,0.7157852121907007
0.12,40,1000,permissive,60,100,0.6,0.5020025867910618,0.6905987135675411,3725.0,21.678125,0.7437499999999999,0.44825288153310006,0.753826816197999
0.12,40,1000,primary,59,100,0.59,0.4920143005341078,0.6813268697886348,3725.0,21.678125,0.7437499999999999,0.44825288153310006,0.753826816197999
0.12,40,1000,strict,47,100,0.47,0.3751081795934127,0.5671114302990063,3725.0,21.678125,0.7437499999999999,0.44825288153310006,0.753826816197999
0.002,60,1500,permissive,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8962.5,4.834375,0.0,0.2772469988424678,0.02918643666630675
0.002,60,1500,primary,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8962.5,4.834375,0.0,0.2772469988424678,0.02918643666630675
0.002,60,1500,strict,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8962.5,4.834375,0.0,0.2772469988424678,0.02918643666630675
0.02,60,1500,permissive,14,100,0.14,0.08526343659939134,0.22137188210963837,4350.0,12.032812499999999,0.371875,0.3246926436742985,0.3869561023451511
0.02,60,1500,primary,4,100,0.04,0.01566330399154762,0.0983707143588792,4350.0,12.032812499999999,0.371875,0.3246926436742985,0.3869561023451511
0.02,60,1500,strict,0,100,0.0,3.469446951953614e-18,0.03699349820698568,4350.0,12.032812499999999,0.371875,0.3246926436742985,0.3869561023451511
0.03,60,1500,permissive,35,100,0.35,0.26364248243097527,0.44745556703112027,4075.0,14.503125,0.4375,0.3537078537097214,0.46829275560297057
0.03,60,1500,primary,25,100,0.25,0.17545211362287672,0.34304463548061603,4075.0,14.503125,0.4375,0.3537078537097214,0.46829275560297057
0.03,60,1500,strict,8,100,0.08,0.041093461484380624,0.14998107700948735,4075.0,14.503125,0.4375,0.3537078537097214,0.46829275560297057
0.04,60,1500,permissive,38,100,0.38,0.29097599252478734,0.47790244704488916,4100.0,15.545312500000001,0.4984375,0.3714440749764116,0.5126003703929827
0.04,60,1500,primary,33,100,0.33,0.24563122734128034,0.4269465620490947,4100.0,15.545312500000001,0.4984375,0.3714440749764116,0.5126003703929827
0.04,60,1500,strict,19,100,0.19,0.12514751509768735,0.27778845379064376,4100.0,15.545312500000001,0.4984375,0.3714440749764116,0.5126003703929827
0.05,60,1500,permissive,55,100,0.55,0.45244602997442135,0.6438546202048803,4000.0,18.0921875,0.59375,0.4003991661449313,0.603615148238103
0.05,60,1500,primary,45,100,0.45,0.3561453797951198,0.5475539700255787,4000.0,18.0921875,0.59375,0.4003991661449313,0.603615148238103
