topology,network_realization,graph_seed,contact_probability,duration_years,ignitions,agent_replicates,ignition_probability,median_final_repertoire,median_first_ignition_year_if_any,density,clustering,mean_shortest_path,degree_cv,modularity
Scale-free,16,20320067,0.08,1500,3,8,0.375,11.9546875,3975.0,0.2333333333333333,0.3246527777777778,2.075,0.5345224838248488,0.2748724489795918
Scale-free,17,20320068,0.08,1500,3,8,0.375,15.9390625,3837.5,0.2333333333333333,0.3488095238095238,2.1083333333333334,0.4948716593053935,0.3029336734693877
Scale-free,18,20320069,0.08,1500,6,8,0.75,22.7328125,3962.5,0.2333333333333333,0.2416666666666666,2.0083333333333333,0.5345224838248488,0.2633928571428571
Scale-free,19,20320070,0.08,1500,1,8,0.125,9.7109375,4312.5,0.2333333333333333,0.5855113636363636,1.9416666666666669,0.769309258162072,0.2200255102040816
Scale-free,0,20337908,0.12,1500,5,8,0.625,22.4859375,4175.0,0.2333333333333333,0.3104166666666667,2.025,0.4403152859263554,0.3182397959183673
Scale-free,1,20337909,0.12,1500,5,8,0.625,27.7265625,3750.0,0.2333333333333333,0.3206845238095238,1.975,0.662401321106836,0.2385204081632653
Scale-free,2,20337910,0.12,1500,4,8,0.5,21.7828125,4075.0,0.2333333333333333,0.3260416666666667,1.9833333333333332,0.5890150893739515,0.2653061224489796
Scale-free,3,20337911,0.12,1500,4,8,0.5,22.165625,3875.0,0.2333333333333333,0.3083333333333333,2.075,0.5345224838248488,0.2646683673469387
Scale-free,4,20337912,0.12,1500,6,8,0.75,27.7125,4000.0,0.2333333333333333,0.5855654761904762,2.1166666666666667,0.5532833351724882,0.3698979591836734
Scale-free,5,20337913,0.12,1500,5,8,0.625,27.33125,3875.0,0.2333333333333333,0.2342261904761904,2.175,0.5150787536377127,0.298469387755102
Scale-free,6,20337914,0.12,1500,5,8,0.625,26.2296875,3775.0,0.2333333333333333,0.403125,1.9833333333333332,0.6998542122237651,0.2110969387755102
Scale-free,7,20337915,0.12,1500,6,8,0.75,27.878125,3737.5,0.2333333333333333,0.3145833333333333,2.0416666666666665,0.5150787536377127,0.2991071428571429
