model,flag,contact_probability,duration_generations,duration_years,seed,primary_ignition,first_generation,final_repertoire,final_primary_fraction,final_cognition,final_infrastructure
Full model,0,0.1,40,1000,1041042,1,150,20.853125,0.6875,0.501698116686687,0.6945217445312563
Full model,0,0.1,40,1000,1041043,0,156,12.34375,0.371875,0.3279345765173209,0.3907260109236155
Full model,0,0.1,40,1000,1041044,0,209,10.459375,0.309375,0.3215362610661406,0.3315942549017276
Full model,0,0.1,40,1000,1041045,1,138,27.875,0.99375,0.5598870150875425,0.9974255415927444
Full model,0,0.1,40,1000,1041046,0,161,11.54375,0.371875,0.2934666522573527,0.3891196500507584
Full model,0,0.1,40,1000,1041047,1,142,27.98125,1.0,0.5926470457391299,0.9976232527509036
Full model,0,0.1,40,1000,1041048,1,144,23.309375,0.80625,0.4593330443068194,0.8139472847763902
Full model,0,0.1,40,1000,1041049,1,150,21.990625,0.740625,0.481450616372019,0.7530364255150995
Full model,0,0.16,40,1000,1041600,1,152,23.571875,0.8125,0.4973838351981805,0.8145308989361133
Full model,0,0.16,40,1000,1041601,1,136,28.146875,1.0,0.5673628784505771,0.9975692258380408
Full model,0,0.16,40,1000,1041602,0,239,13.53125,0.43125,0.3244582630604612,0.4528182617296041
Full model,0,0.16,40,1000,1041603,1,131,27.809375,1.0,0.5381247186114487,0.9974250416360002
Full model,0,0.16,40,1000,1041604,1,155,21.453125,0.75,0.4377609125610308,0.752612710869457
Full model,0,0.16,40,1000,1041605,0,-1,4.7375,0.0,0.2644271504157827,0.0251433259437261
Full model,0,0.16,40,1000,1041606,1,140,27.671875,1.0,0.5473276592674583,0.9974276831040616
Full model,0,0.16,40,1000,1041607,0,221,14.703125,0.49375,0.3285384365393802,0.5077341861416064
Full model,0,0.16,40,1000,1041608,1,147,23.88125,0.815625,0.5057865185883998,0.8189720293374789
Full model,0,0.16,40,1000,1041609,1,133,27.665625,0.99375,0.5196417035145554,0.9973471308190988
Full model,0,0.16,40,1000,1041610,0,208,9.75,0.24375,0.3238321027482827,0.2743048853384659
Full model,0,0.16,40,1000,1041611,0,156,16.796875,0.559375,0.3770780945063383,0.568650982121407
Full model,0,0.16,40,1000,1041612,1,146,27.903125,1.0,0.5452006034757597,0.997475985467385
Full model,0,0.16,40,1000,1041613,0,-1,4.659375,0.0,0.2472445390897952,0.0236310586497797
Full model,0,0.16,40,1000,1041614,1,152,22.440625,0.75,0.5001607430986437,0.7552503798165752
Full model,0,0.16,40,1000,1041615,1,142,27.58125,0.99375,0.5368980869912379,0.9974358130443668
Full model,0,0.16,40,1000,1041616,1,139,27.80625,0.996875,0.5395020107226935,0.9973855741693076
Full model,0,0.16,40,1000,1041617,0,-1,5.04375,0.0,0.2819148627170843,0.0346568954703059
Full model,0,0.16,40,1000,1041618,0,319,8.690625,0.1875,0.3037784559508712,0.2233056238292514
Full model,0,0.16,40,1000,1041619,0,377,7.94375,0.2,0.352398777643099,0.258769797128315
Full model,0,0.16,40,1000,1041620,1,139,27.80625,0.996875,0.555062772096459,0.9974204809799856
Full model,0,0.16,40,1000,1041621,1,137,27.659375,1.0,0.5324746984019777,0.9974241097268292
Full model,0,0.16,40,1000,1041622,1,156,20.978125,0.6875,0.4761688301361162,0.6951523309285379
Full model,0,0.16,40,1000,1041623,0,254,9.340625,0.24375,0.3049459386881755,0.2764537443272958
Full model,0,0.16,40,1000,1041624,0,-1,5.4,0.040625,0.2729437980896857,0.0799556691454833
Full model,0,0.16,40,1000,1041625,1,146,25.31875,0.875,0.5231427211579811,0.874939722851588
Full model,0,0.16,40,1000,1041626,1,141,27.88125,0.996875,0.5448104188419802,0.9973937627306124
Full model,0,0.16,40,1000,1041627,1,143,27.921875,1.0,0.5500066368734801,0.9975160844155668
Full model,0,0.16,40,1000,1041628,1,141,27.628125,0.996875,0.5539237600087347,0.9974913487486364
Full model,0,0.16,40,1000,1041629,1,143,27.8,1.0,0.5347523993891923,0.9973944119055328
Full model,0,0.16,40,1000,1041630,1,137,27.825,0.99375,0.5667261613575166,0.9975164033571208
Full model,0,0.16,40,1000,1041631,1,146,27.35,1.0,0.5121334663305517,0.9972358421945968
Full model,0,0.16,40,1000,1041632,1,138,28.025,0.996875,0.5811127577135647,0.9976579019922576
Full model,0,0.16,40,1000,1041633,0,219,9.19375,0.246875,0.3033569365599995,0.2631978947356193
Full model,0,0.16,40,1000,1041634,0,166,14.703125,0.478125,0.3683459856931771,0.5062301830403892
Full model,0,0.16,40,1000,1041635,1,146,27.290625,1.0,0.4936864802101219,0.9971457276217052
Full model,0,0.16,40,1000,1041636,1,139,28.29375,1.0,0.5933401631695381,0.9976139139112346
Full model,0,0.16,40,1000,1041637,1,139,27.528125,0.996875,0.5184737536374462,0.9972902809671088
Full model,0,0.16,40,1000,1041638,1,148,26.003125,0.93125,0.4959383097145139,0.9360262251234276
Full model,0,0.16,40,1000,1041639,1,140,27.340625,0.99375,0.5107485931523892,0.997275913888209
Full model,0,0.16,40,1000,1041640,1,146,24.23125,0.85625,0.4684858592080951,0.8830939620032552
Full model,0,0.16,40,1000,1041641,1,133,27.86875,1.0,0.5525873888655968,0.9974774691100292
Full model,0,0.16,40,1000,1041642,1,140,28.0375,0.99375,0.5668993029461745,0.9975704045943418
Full model,0,0.16,40,1000,1041643,1,141,27.5875,0.990625,0.5253906154383284,0.9972876817082328
Full model,0,0.16,40,1000,1041644,1,138,27.9625,1.0,0.5609977555514265,0.9974313134900784
Full model,0,0.16,40,1000,1041645,1,155,18.996875,0.621875,0.4444625945216353,0.6492187899321049
Full model,0,0.16,40,1000,1041646,1,140,27.315625,0.99375,0.510165564846077,0.997246026926876
Full model,0,0.16,40,1000,1041647,1,132,27.846875,0.996875,0.5529080861808721,0.9974225377184912
Full model,0,0.16,40,1000,1041648,0,157,15.5625,0.5,0.3492813083321161,0.5075727911583887
Full model,0,0.16,40,1000,1041649,1,144,27.753125,1.0,0.5344515328536911,0.997336623069084
Full model,0,0.03,60,1500,1060300,0,207,11.371875,0.31875,0.3060103192528086,0.3696650254871524
Full model,0,0.03,60,1500,1060301,1,151,26.396875,0.934375,0.5406619864401145,0.936253584268413
Full model,0,0.03,60,1500,1060302,1,168,20.071875,0.684375,0.4010543422143369,0.6917918962356601
Full model,0,0.03,60,1500,1060303,0,-1,5.659375,0.034375,0.289793921108597,0.0843583888689995
Full model,0,0.03,60,1500,1060304,1,148,27.165625,0.99375,0.526095588000703,0.9910880267171072
Full model,0,0.03,60,1500,1060305,1,150,22.2,0.75,0.4815391799956243,0.7533088563689784
Full model,0,0.03,60,1500,1060306,1,173,20.475,0.684375,0.4265324274398147,0.6933210487346225
Full model,0,0.03,60,1500,1060307,1,171,21.2125,0.746875,0.4396919970548111,0.7522864723263576
Full model,0,0.03,60,1500,1060308,0,344,9.8,0.25,0.3544834390633844,0.2757884585652546
Full model,0,0.03,60,1500,1060309,0,-1,4.328125,0.0,0.2329978583176844,0.0166337175116812
Full model,0,0.03,60,1500,1060310,0,159,18.2,0.5625,0.4487762409122979,0.5917312192107846
Full model,0,0.03,60,1500,1060311,0,242,11.00625,0.3,0.3337022828660051,0.3605000847776146
Full model,0,0.03,60,1500,1060312,0,192,7.8875,0.18125,0.2703429364779936,0.2050203421065259
Full model,0,0.03,60,1500,1060313,0,161,17.928125,0.621875,0.4292878903178905,0.6396682812902627
Full model,0,0.03,60,1500,1060314,0,176,13.04375,0.434375,0.3274252088729414,0.4460564201704819
Full model,0,0.03,60,1500,1060315,0,185,15.6625,0.453125,0.4045273074462827,0.5032229016696029
Full model,0,0.03,60,1500,1060316,0,160,15.6625,0.5,0.4029877956326471,0.5143148251108534
Full model,0,0.03,60,1500,1060317,0,157,10.13125,0.25,0.2884574403336523,0.2762393071885378
Full model,0,0.03,60,1500,1060318,1,135,22.14375,0.74375,0.4929589243459193,0.7527484932894528
Full model,0,0.03,60,1500,1060319,1,145,19.965625,0.684375,0.3971058361116886,0.691114899562984
Full model,0,0.03,60,1500,1060320,0,346,6.33125,0.11875,0.2886529515954649,0.1465873531985875
Full model,0,0.03,60,1500,1060321,0,-1,6.05625,0.0875,0.3228107434249704,0.1340361615247708
Full model,0,0.03,60,1500,1060322,0,157,17.3125,0.5625,0.4306427440405774,0.5801684836930294
Full model,0,0.03,60,1500,1060323,0,267,7.859375,0.184375,0.2582135625953428,0.2047465245066116
Full model,0,0.03,60,1500,1060324,0,170,15.15625,0.49375,0.3741175195803265,0.5206901075061598
Full model,0,0.03,60,1500,1060325,0,178,9.25625,0.25,0.2812968211343519,0.2611255003942253
Full model,0,0.03,60,1500,1060326,0,149,15.940625,0.496875,0.3567068016430482,0.5131483736424566
Full model,0,0.03,60,1500,1060327,0,171,18.16875,0.5625,0.4051430802450758,0.5759260274061432
Full model,0,0.03,60,1500,1060328,0,171,11.66875,0.3125,0.3509229014901915,0.3346051720721052
Full model,0,0.03,60,1500,1060329,0,244,7.91875,0.178125,0.3080227377501189,0.2099006530060265
Full model,0,0.03,60,1500,1060330,0,-1,4.409375,0.0,0.2396830353432168,0.0190805812555756
Full model,0,0.03,60,1500,1060331,0,237,7.6625,0.184375,0.296497053874106,0.2018600431924651
Full model,0,0.03,60,1500,1060332,1,152,20.253125,0.684375,0.4097950058497271,0.6914856781590409
Full model,0,0.03,60,1500,1060333,0,168,15.203125,0.49375,0.3425749937814429,0.5099865070584186
Full model,0,0.03,60,1500,1060334,0,170,15.284375,0.496875,0.3739652735669417,0.5175315761009259
Full model,0,0.03,60,1500,1060335,0,151,16.05625,0.496875,0.355123997655447,0.5094282218108407
Full model,0,0.03,60,1500,1060336,0,182,12.15,0.3625,0.3300805933819531,0.3963875077444491
Full model,0,0.03,60,1500,1060337,1,169,21.821875,0.75,0.446317636293836,0.7539108957686039
Full model,0,0.03,60,1500,1060338,0,-1,6.415625,0.1,0.293426036221556,0.1608301645332817
Full model,0,0.03,60,1500,1060339,1,154,21.675,0.746875,0.4242510629621506,0.7523723629754376
Full model,0,0.03,60,1500,1060340,0,267,9.409375,0.25,0.3108598833123048,0.2746165515445909
Full model,0,0.03,60,1500,1060341,0,-1,5.671875,0.0625,0.2992000796926225,0.1005854609955154
Full model,0,0.03,60,1500,1060342,0,161,8.865625,0.24375,0.2660895645551836,0.2634715955225412
Full model,0,0.03,60,1500,1060343,0,181,10.296875,0.25625,0.3082185594229079,0.2862086947457132
Full model,0,0.03,60,1500,1060344,0,-1,4.365625,0.0,0.2318450030617417,0.0182317464450024
Full model,0,0.03,60,1500,1060345,0,166,17.89375,0.625,0.4023169111753432,0.6295118662971639
Full model,0,0.03,60,1500,1060346,0,154,12.875,0.375,0.3621679310873207,0.3863609222516292
Full model,0,0.03,60,1500,1060347,0,162,17.33125,0.55625,0.3724939845091167,0.5727075490605401
Full model,0,0.03,60,1500,1060348,0,151,14.659375,0.440625,0.371405686324733,0.4500674548018654
Full model,0,0.03,60,1500,1060349,0,348,10.3,0.3125,0.3060952716646941,0.3235043175269879
Full model,0,0.06,60,1500,1060600,1,154,19.41875,0.625,0.4463502670977184,0.6347526439160247
Full model,0,0.06,60,1500,1060601,1,152,21.9,0.746875,0.4399333942375086,0.7651477377788949
Full model,0,0.06,60,1500,1060602,0,211,8.065625,0.1875,0.278075454743058,0.2054443822097375
Full model,0,0.06,60,1500,1060603,1,139,26.2125,0.93125,0.5384749562230542,0.936330614833331
Full model,0,0.06,60,1500,1060604,0,316,16.840625,0.553125,0.3695257238434992,0.5730764492868444
Full model,0,0.06,60,1500,1060605,1,149,27.6,1.0,0.5129069141802824,0.9972692482222596
Full model,0,0.06,60,1500,1060606,0,163,19.109375,0.625,0.4012500779018738,0.6334423768759055
Full model,0,0.06,60,1500,1060607,1,144,28.046875,1.0,0.5698927075383263,0.9974803342699372
Full model,0,0.06,60,1500,1060608,0,-1,4.384375,0.0,0.2355828762727077,0.0225638728530858
Full model,0,0.06,60,1500,1060609,0,-1,5.684375,0.0,0.3239459581570713,0.073831816258724
Full model,0,0.06,60,1500,1060610,1,150,24.79375,0.86875,0.4952664591844753,0.876319258769098
Full model,0,0.06,60,1500,1060611,0,176,9.39375,0.24375,0.2956456756816841,0.2714448476276332
Full model,0,0.06,60,1500,1060612,1,144,21.6625,0.74375,0.4502220803033713,0.7518820054319514
Full model,0,0.06,60,1500,1060613,1,135,26.94375,1.0,0.4753199306334393,0.997052008204046
Full model,0,0.06,60,1500,1060614,1,136,26.409375,0.9375,0.5294160318947111,0.9362216140440616
Full model,0,0.06,60,1500,1060615,1,166,21.85625,0.74375,0.4300532814362157,0.7539989367122001
Full model,0,0.06,60,1500,1060616,1,155,25.00625,0.871875,0.5159089980055517,0.8759194950730603
Full model,0,0.06,60,1500,1060617,1,156,21.790625,0.746875,0.4457775782461365,0.7537254086342388
Full model,0,0.06,60,1500,1060618,0,256,6.740625,0.115625,0.2975057739584146,0.14563178530159
Full model,0,0.06,60,1500,1060619,1,139,25.98125,0.934375,0.513828976243183,0.93606467211718
Full model,0,0.06,60,1500,1060620,1,140,24.890625,0.875,0.5061745879696893,0.8767623466912664
Full model,0,0.06,60,1500,1060621,0,153,14.36875,0.440625,0.3930808816754343,0.4592768816516303
